repo,stage,error
nodejs/node,collect_repo_prs_rest,"Falha após retries: HTTPSConnectionPool(host='api.github.com', port=443): Max retries exceeded with url: /repos/nodejs/node/pulls?state=closed&sort=created&direction=desc&per_page=100&page=1 (Caused by NameResolutionError(""HTTPSConnection(host='api.github.com', port=443): Failed to resolve 'api.github.com' ([Errno 11001] getaddrinfo failed)""))"
justjavac/free-programming-books-zh_CN,collect_repo_prs_rest,"Falha após retries: HTTPSConnectionPool(host='api.github.com', port=443): Max retries exceeded with url: /repos/justjavac/free-programming-books-zh_CN/pulls?state=closed&sort=created&direction=desc&per_page=100&page=1 (Caused by NameResolutionError(""HTTPSConnection(host='api.github.com', port=443): Failed to resolve 'api.github.com' ([Errno 11001] getaddrinfo failed)""))"
clash-verge-rev/clash-verge-rev,collect_repo_prs_rest,"Falha após retries: HTTPSConnectionPool(host='api.github.com', port=443): Max retries exceeded with url: /repos/clash-verge-rev/clash-verge-rev/pulls?state=closed&sort=created&direction=desc&per_page=100&page=1 (Caused by NameResolutionError(""HTTPSConnection(host='api.github.com', port=443): Failed to resolve 'api.github.com' ([Errno 11001] getaddrinfo failed)""))"
iptv-org/iptv,collect_repo_prs_rest,"Falha após retries: HTTPSConnectionPool(host='api.github.com', port=443): Max retries exceeded with url: /repos/iptv-org/iptv/pulls?state=closed&sort=created&direction=desc&per_page=100&page=1 (Caused by NameResolutionError(""HTTPSConnection(host='api.github.com', port=443): Failed to resolve 'api.github.com' ([Errno 11001] getaddrinfo failed)""))"
firecrawl/firecrawl,collect_repo_prs_rest,"Falha após retries: HTTPSConnectionPool(host='api.github.com', port=443): Max retries exceeded with url: /repos/firecrawl/firecrawl/pulls?state=closed&sort=created&direction=desc&per_page=100&page=1 (Caused by NameResolutionError(""HTTPSConnection(host='api.github.com', port=443): Failed to resolve 'api.github.com' ([Errno 11001] getaddrinfo failed)""))"
shadcn-ui/ui,collect_repo_prs_rest,"Falha após retries: HTTPSConnectionPool(host='api.github.com', port=443): Max retries exceeded with url: /repos/shadcn-ui/ui/pulls?state=closed&sort=created&direction=desc&per_page=100&page=1 (Caused by NameResolutionError(""HTTPSConnection(host='api.github.com', port=443): Failed to resolve 'api.github.com' ([Errno 11001] getaddrinfo failed)""))"
rustdesk/rustdesk,collect_repo_prs_rest,"Falha após retries: HTTPSConnectionPool(host='api.github.com', port=443): Max retries exceeded with url: /repos/rustdesk/rustdesk/pulls?state=closed&sort=created&direction=desc&per_page=100&page=1 (Caused by NameResolutionError(""HTTPSConnection(host='api.github.com', port=443): Failed to resolve 'api.github.com' ([Errno 11001] getaddrinfo failed)""))"
d3/d3,collect_repo_prs_rest,"Falha após retries: HTTPSConnectionPool(host='api.github.com', port=443): Max retries exceeded with url: /repos/d3/d3/pulls?state=closed&sort=created&direction=desc&per_page=100&page=1 (Caused by NameResolutionError(""HTTPSConnection(host='api.github.com', port=443): Failed to resolve 'api.github.com' ([Errno 11001] getaddrinfo failed)""))"
Hack-with-Github/Awesome-Hacking,collect_repo_prs_rest,"Falha após retries: HTTPSConnectionPool(host='api.github.com', port=443): Max retries exceeded with url: /repos/Hack-with-Github/Awesome-Hacking/pulls?state=closed&sort=created&direction=desc&per_page=100&page=1 (Caused by NameResolutionError(""HTTPSConnection(host='api.github.com', port=443): Failed to resolve 'api.github.com' ([Errno 11001] getaddrinfo failed)""))"
rust-lang/rust,collect_repo_prs_rest,"Falha após retries: HTTPSConnectionPool(host='api.github.com', port=443): Max retries exceeded with url: /repos/rust-lang/rust/pulls?state=closed&sort=created&direction=desc&per_page=100&page=1 (Caused by NameResolutionError(""HTTPSConnection(host='api.github.com', port=443): Failed to resolve 'api.github.com' ([Errno 11001] getaddrinfo failed)""))"
mrdoob/three.js,collect_repo_prs_rest,"Falha após retries: HTTPSConnectionPool(host='api.github.com', port=443): Max retries exceeded with url: /repos/mrdoob/three.js/pulls?state=closed&sort=created&direction=desc&per_page=100&page=1 (Caused by NameResolutionError(""HTTPSConnection(host='api.github.com', port=443): Failed to resolve 'api.github.com' ([Errno 11001] getaddrinfo failed)""))"
Comfy-Org/ComfyUI,collect_repo_prs_rest,"Falha após retries: HTTPSConnectionPool(host='api.github.com', port=443): Max retries exceeded with url: /repos/Comfy-Org/ComfyUI/pulls?state=closed&sort=created&direction=desc&per_page=100&page=1 (Caused by NameResolutionError(""HTTPSConnection(host='api.github.com', port=443): Failed to resolve 'api.github.com' ([Errno 11001] getaddrinfo failed)""))"
godotengine/godot,collect_repo_prs_rest,"Falha após retries: HTTPSConnectionPool(host='api.github.com', port=443): Max retries exceeded with url: /repos/godotengine/godot/pulls?state=closed&sort=created&direction=desc&per_page=100&page=1 (Caused by NameResolutionError(""HTTPSConnection(host='api.github.com', port=443): Failed to resolve 'api.github.com' ([Errno 11001] getaddrinfo failed)""))"
axios/axios,collect_repo_prs_rest,"Falha após retries: HTTPSConnectionPool(host='api.github.com', port=443): Max retries exceeded with url: /repos/axios/axios/pulls?state=closed&sort=created&direction=desc&per_page=100&page=1 (Caused by NameResolutionError(""HTTPSConnection(host='api.github.com', port=443): Failed to resolve 'api.github.com' ([Errno 11001] getaddrinfo failed)""))"
microsoft/generative-ai-for-beginners,collect_repo_prs_rest,"Falha após retries: HTTPSConnectionPool(host='api.github.com', port=443): Max retries exceeded with url: /repos/microsoft/generative-ai-for-beginners/pulls?state=closed&sort=created&direction=desc&per_page=100&page=1 (Caused by NameResolutionError(""HTTPSConnection(host='api.github.com', port=443): Failed to resolve 'api.github.com' ([Errno 11001] getaddrinfo failed)""))"
microsoft/TypeScript,collect_repo_prs_rest,"Falha após retries: HTTPSConnectionPool(host='api.github.com', port=443): Max retries exceeded with url: /repos/microsoft/TypeScript/pulls?state=closed&sort=created&direction=desc&per_page=100&page=1 (Caused by NameResolutionError(""HTTPSConnection(host='api.github.com', port=443): Failed to resolve 'api.github.com' ([Errno 11001] getaddrinfo failed)""))"
ggml-org/llama.cpp,collect_repo_prs_rest,"Falha após retries: HTTPSConnectionPool(host='api.github.com', port=443): Max retries exceeded with url: /repos/ggml-org/llama.cpp/pulls?state=closed&sort=created&direction=desc&per_page=100&page=1 (Caused by NameResolutionError(""HTTPSConnection(host='api.github.com', port=443): Failed to resolve 'api.github.com' ([Errno 11001] getaddrinfo failed)""))"
Shubhamsaboo/awesome-llm-apps,collect_repo_prs_rest,"Falha após retries: HTTPSConnectionPool(host='api.github.com', port=443): Max retries exceeded with url: /repos/Shubhamsaboo/awesome-llm-apps/pulls?state=closed&sort=created&direction=desc&per_page=100&page=1 (Caused by NameResolutionError(""HTTPSConnection(host='api.github.com', port=443): Failed to resolve 'api.github.com' ([Errno 11001] getaddrinfo failed)""))"
denoland/deno,collect_repo_prs_rest,"Falha após retries: HTTPSConnectionPool(host='api.github.com', port=443): Max retries exceeded with url: /repos/denoland/deno/pulls?state=closed&sort=created&direction=desc&per_page=100&page=1 (Caused by NameResolutionError(""HTTPSConnection(host='api.github.com', port=443): Failed to resolve 'api.github.com' ([Errno 11001] getaddrinfo failed)""))"
fatedier/frp,collect_repo_prs_rest,"Falha após retries: HTTPSConnectionPool(host='api.github.com', port=443): Max retries exceeded with url: /repos/fatedier/frp/pulls?state=closed&sort=created&direction=desc&per_page=100&page=1 (Caused by NameResolutionError(""HTTPSConnection(host='api.github.com', port=443): Failed to resolve 'api.github.com' ([Errno 11001] getaddrinfo failed)""))"
tauri-apps/tauri,collect_repo_prs_rest,"Falha após retries: HTTPSConnectionPool(host='api.github.com', port=443): Max retries exceeded with url: /repos/tauri-apps/tauri/pulls?state=closed&sort=created&direction=desc&per_page=100&page=1 (Caused by NameResolutionError(""HTTPSConnection(host='api.github.com', port=443): Failed to resolve 'api.github.com' ([Errno 11001] getaddrinfo failed)""))"
papers-we-love/papers-we-love,collect_repo_prs_rest,"Falha após retries: HTTPSConnectionPool(host='api.github.com', port=443): Max retries exceeded with url: /repos/papers-we-love/papers-we-love/pulls?state=closed&sort=created&direction=desc&per_page=100&page=1 (Caused by NameResolutionError(""HTTPSConnection(host='api.github.com', port=443): Failed to resolve 'api.github.com' ([Errno 11001] getaddrinfo failed)""))"
goldbergyoni/nodebestpractices,collect_repo_prs_rest,"Falha após retries: HTTPSConnectionPool(host='api.github.com', port=443): Max retries exceeded with url: /repos/goldbergyoni/nodebestpractices/pulls?state=closed&sort=created&direction=desc&per_page=100&page=1 (Caused by NameResolutionError(""HTTPSConnection(host='api.github.com', port=443): Failed to resolve 'api.github.com' ([Errno 11001] getaddrinfo failed)""))"
2dust/v2rayN,collect_repo_prs_rest,"Falha após retries: HTTPSConnectionPool(host='api.github.com', port=443): Max retries exceeded with url: /repos/2dust/v2rayN/pulls?state=closed&sort=created&direction=desc&per_page=100&page=1 (Caused by NameResolutionError(""HTTPSConnection(host='api.github.com', port=443): Failed to resolve 'api.github.com' ([Errno 11001] getaddrinfo failed)""))"
deepseek-ai/DeepSeek-V3,collect_repo_prs_rest,"Falha após retries: HTTPSConnectionPool(host='api.github.com', port=443): Max retries exceeded with url: /repos/deepseek-ai/DeepSeek-V3/pulls?state=closed&sort=created&direction=desc&per_page=100&page=1 (Caused by NameResolutionError(""HTTPSConnection(host='api.github.com', port=443): Failed to resolve 'api.github.com' ([Errno 11001] getaddrinfo failed)""))"
facebook/create-react-app,collect_repo_prs_rest,"Falha após retries: HTTPSConnectionPool(host='api.github.com', port=443): Max retries exceeded with url: /repos/facebook/create-react-app/pulls?state=closed&sort=created&direction=desc&per_page=100&page=1 (Caused by NameResolutionError(""HTTPSConnection(host='api.github.com', port=443): Failed to resolve 'api.github.com' ([Errno 11001] getaddrinfo failed)""))"
jaywcjlove/awesome-mac,collect_repo_prs_rest,"Falha após retries: HTTPSConnectionPool(host='api.github.com', port=443): Max retries exceeded with url: /repos/jaywcjlove/awesome-mac/pulls?state=closed&sort=created&direction=desc&per_page=100&page=1 (Caused by NameResolutionError(""HTTPSConnection(host='api.github.com', port=443): Failed to resolve 'api.github.com' ([Errno 11001] getaddrinfo failed)""))"
